Valid,Comp,Source,RA,Dec,z,Cosmo,LDist,Type,Instrument,Line,Flux,Flux_err,Lum,Lum_err,FWHM,FWHM_err,Cont,Cont_err,LFIR,LFIR_err,LFIR_LIR,LFIR_LIR_err,LFIR_LIR_type,LIR,LIR_err,LIR_LFIR,LIR_LFIR_err,LIR_LFIR_type,Line_ref,Line_year,Line_ref_link,Cont_ref,Cont_year,Pub,Mag_min,Mag_max,Line_rf,Log_Lum,Log_Lum_me,Log_Lum_pe,
-,-,-,J2000.0,J2000.0,-,,[Mpc],-,-,-,[Jy km/s],[Jy km/s],[Lsun],[Lsun],[km/s],[km/s],[mJy],[mJy],[Lsun],[Lsun],[Lsun],[Lsun],,[Lsun],[Lsun],[Lsun],[Lsun],,-,-,-,-,-,-,-,-,[GHz],[Lsun],[Lsun],[Lsun],
S,M,CRISTAL-03,"""09:59:53.255""","""+02:07:05.358""",5.6886,Vanilla,54236.1,MS,ALMA,[CII]158um,0.43,0.04,3.74E+08,3.48E+07,291,16,0.06,0.02,,,7.24E+10,4.24E+10,LIR,7.24E+10,4.24E+10,7.24E+10,4.24E+10,,Herrera-Camus+25,2025,Submitted,Herrera-Camus+25,2025,1,1,1,1900.547,8.57262209,0.04240384855,0.03862940236,
S,M,DEIMOS_COSMOS_880016,"""09:59:55.16""","""+02:38:08.18""",4.5415,,41672.676,LBG,ALMA,[CII]158um,0.89,0.12,5.51E+08,7.43E+07,274,14,0,0.091,,,0.00E+00,1.30E+11,LIR,0.00E+00,1.30E+11,0.00E+00,1.30E+11,LIR,Bethermin+20,2020,https://ui.adsabs.harvard.edu/abs/2020A%26A...643A...2B/abstract,Bethermin+20,2020,1,1,1,1900.547,8.741377401,0.06289928147,0.05493136714,
S,M,ALPINE-S787780,"""09:59:56.87""","""+02:29:48.1""",4.51095,,41341.844,[CII]-emitter,ALMA,[CII]158um,1.13,0.08,6.93E+08,4.90E+07,258,0,0.398,0.106,,,,,,,,,,,Loiacono+21,2021,https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..76L/abstract,Loiacono+21,2021,1,1,1,1900.547,8.840543614,0.03188914441,0.02970692683,
S,M,DEIMOS_COSMOS_803480,"""09:59:57.26""","""+02:31:13.01""",4.5417,,41674.844,LBG,ALMA,[CII]158um,0.21,0.06,1.30E+08,3.72E+07,125,18,0,0.072,,,0.00E+00,1.01E+11,LIR,0.00E+00,1.01E+11,0.00E+00,1.01E+11,LIR,Bethermin+20,2020,https://ui.adsabs.harvard.edu/abs/2020A%26A...643A...2B/abstract,Bethermin+20,2020,1,1,1,1900.547,8.114236202,0.1461280357,0.1091444694,
S,M,AS2COS0006.1,"""09:59:57.29""","""+02:27:30.6""",4.61951,Vanilla,42493.9,SMG,ALMA,[CI]609um,1.067,0.261,1.75E+08,4.29E+07,1148,172,,,,,,,,,,,,,Birkin+21,2021,https://ui.adsabs.harvard.edu/abs/2021MNRAS.501.3926B/abstract,Birkin+21,2021,1,1,1,492.16,8.244258807,0.1218293776,0.09503365561,
S,M,AS2COS0006.1,"""09:59:57.29""","""+02:27:30.6""",4.61951,Vanilla,42493.9,[CII]-emitter,ALMA,[CII]158um,15.9,1.3,1.01E+10,8.26E+08,1090,0,12.5,0.5,,,,,,,,,,,Mitsuhashi+21,2021,https://ui.adsabs.harvard.edu/abs/2021ApJ...907..122M/abstract,Mitsuhashi+21,2021,1,1,1,1900.547,10.00426381,0.03704426854,0.03413132259,
S,M,ID9316,"""09:59:58.80""","""+02:34:58.0""",4.072,Vanilla,36608.7,SMG,ALMA,[CI]609um,0.36,0.02,4.87E+07,2.70E+06,,,0.188,0.004,,,1.00E+13,2.48E+12,LIR,1.00E+13,2.48E+12,1.00E+13,2.48E+12,LIR,Jin+22,2022,https://ui.adsabs.harvard.edu/abs/2022A%26A...665A...3J/abstract,Jin+22,2022,1,1,1,492.16,7.687431523,0.02482358373,0.02348109585,
S,M,ALPINE-S859732,"""09:59:59.73""","""+02:36:22.8""",4.5393,,41648.578,[CII]-emitter,ALMA,[CII]158um,1.21,0.24,7.49E+08,1.49E+08,99,0,,,,,,,,,,,,,Loiacono+21,2021,https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..76L/abstract,Loiacono+21,2021,1,1,1,1900.547,8.874442793,0.09601363605,0.07858263192,
S,M,DEIMOS_COSMOS_859732,"""10:00:00.49""","""+02:36:19.29""",4.5318,,41567.609,LBG,ALMA,[CII]158um,0.7,0.17,4.32E+08,1.05E+08,326,16,0,0.088,,,0.00E+00,1.21E+11,LIR,0.00E+00,1.21E+11,0.00E+00,1.21E+11,LIR,Bethermin+20,2020,https://ui.adsabs.harvard.edu/abs/2020A%26A...643A...2B/abstract,Bethermin+20,2020,1,1,1,1900.547,8.635653612,0.1208221704,0.0944212126,
S,M,CRISTAL-24,"""10:00:02.716""","""+02:37:39.971""",4.5457,Vanilla,41694.9,MS,ALMA,[CII]158um,5.84,0.21,3.62E+09,1.30E+08,526,13,1.355,0.076,,,1.82E+12,0.00E+00,LIR,1.82E+12,0.00E+00,1.82E+12,0.00E+00,LIR,Bethermin+20,2020,https://ui.adsabs.harvard.edu/abs/2020A%26A...643A...2B/abstract,Bethermin+20,2020,1,1,1,1900.547,9.558534301,0.01590445226,0.01534252754,
S,M,CRISTAL-24,"""10:00:02.716""","""+02:37:39.971""",4.5457,Vanilla,41694.9,MS,ALMA,[CII]158um,5.7,0.42,3.53E+09,2.60E+08,754,35,0.74,0.09,,,1.74E+12,1.24E+11,LIR,1.74E+12,1.24E+11,1.74E+12,1.24E+11,LIR,Herrera-Camus+25,2025,Submitted,Herrera-Camus+25,2025,1,1,1,1900.547,9.54799631,0.03324093314,0.03087656647,
S,C,CRISTAL-07d,"""10:00:03.191""","""+02:37:35.502""",5.155,Vanilla,48337.9,MS,ALMA,[CII]158um,0.73,0.07,5.48E+08,5.25E+07,375,73,0,0.03,,,,,,,,,,,Herrera-Camus+25,2025,Submitted,Herrera-Camus+25,2025,1,1,1,1900.547,8.738582314,0.04377892458,0.03976712687,
S,M,ALPINE-S873321,"""10:00:03.22""","""+02:37:37.6""",5.156,,48375.719,[CII]-emitter,ALMA,[CII]158um,1.5,0.29,1.13E+09,2.18E+08,266,0,,,,,,,,,,,,,Loiacono+21,2021,https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..76L/abstract,Loiacono+21,2021,1,1,1,1900.547,9.051959467,0.09330588874,0.07676177192,
S,C,CRISTAL-07c,"""10:00:03.222""","""+02:37:37.732""",5.155,Vanilla,48337.9,MS,ALMA,[CII]158um,0.77,0.08,5.78E+08,6.00E+07,258,16,0.08,0.02,,,2.09E+11,3.65E+10,LIR,2.09E+11,3.65E+10,2.09E+11,3.65E+10,LIR,Herrera-Camus+25,2025,Submitted,Herrera-Camus+25,2025,1,1,1,1900.547,8.761750179,0.04764163444,0.04292820054,
S,C,CRISTAL-07b,"""10:00:03.937""","""+02:37:36.326""",5.1542,Vanilla,48329.1,MS,ALMA,[CII]158um,0.64,0.08,4.80E+08,6.00E+07,214,16,0.06,0.1,,,7.23E+10,1.87E+10,LIR,7.23E+10,1.87E+10,7.23E+10,1.87E+10,LIR,Herrera-Camus+25,2025,Submitted,Herrera-Camus+25,2025,1,1,1,1900.547,8.681337737,0.05799194698,0.05115252245,
X,M,HZ8,"""10:00:04.03""","""+02:37:35.8""",5.148,"H0=67.74, OM=0.3102",48261,LAE,Compilation,[CII]158um,3.43E-01,1.16E-01,2.57E+08,8.72E+07,,,,,,,,,,,,,,,Harikane+18,2018,https://ui.adsabs.harvard.edu/abs/2018ApJ...859...84H/abstract,Harikane+18,2018,1,1,1,1900.547,8.41,0.18,0.1268799934,
S,M,CRISTAL-07a,"""10:00:04.059""","""+02:37:35.841""",5.1542,Vanilla,48329.1,MS,ALMA,[CII]158um,1.27,0.14,9.53E+08,1.05E+08,201,13,0,0.094,,,7.23E+10,1.87E+10,LIR,7.23E+10,1.87E+10,7.23E+10,1.87E+10,LIR,Bethermin+20,2020,https://ui.adsabs.harvard.edu/abs/2020A%26A...643A...2B/abstract,Bethermin+20,2020,1,1,1,1900.547,8.978961484,0.05072527747,0.0454153917,
