 freq,	    tau,          Transmission
    4.46000E+01,   4.73804E-02,   9.53724E-01
    4.47000E+01,   4.80689E-02,   9.53068E-01
    4.48000E+01,   4.87955E-02,   9.52376E-01
    4.49000E+01,   4.95727E-02,   9.51636E-01
    4.50000E+01,   5.01917E-02,   9.51047E-01
    4.51000E+01,   5.09113E-02,   9.50363E-01
    4.52000E+01,   5.16610E-02,   9.49651E-01
    4.53000E+01,   5.24320E-02,   9.48919E-01
    4.54000E+01,   5.32217E-02,   9.48170E-01
    4.55000E+01,   5.40311E-02,   9.47403E-01
    4.56000E+01,   5.48609E-02,   9.46617E-01
    4.57000E+01,   5.57110E-02,   9.45812E-01
    4.58000E+01,   5.65823E-02,   9.44989E-01
    4.59000E+01,   5.74748E-02,   9.44146E-01
    4.60000E+01,   5.83897E-02,   9.43282E-01
    4.61000E+01,   5.93286E-02,   9.42397E-01
    4.62000E+01,   6.02889E-02,   9.41493E-01
    4.63000E+01,   6.12756E-02,   9.40564E-01
    4.64000E+01,   6.22876E-02,   9.39613E-01
    4.65000E+01,   6.33256E-02,   9.38638E-01
    4.66000E+01,   6.43919E-02,   9.37637E-01
    4.67000E+01,   6.54892E-02,   9.36609E-01
    4.68000E+01,   6.66111E-02,   9.35559E-01
    4.69000E+01,   6.77659E-02,   9.34479E-01
    4.70000E+01,   6.89532E-02,   9.33370E-01
    4.71000E+01,   7.01742E-02,   9.32231E-01
    4.72000E+01,   7.14291E-02,   9.31062E-01
    4.73000E+01,   7.27194E-02,   9.29862E-01
    4.74000E+01,   7.40481E-02,   9.28627E-01
    4.75000E+01,   7.54156E-02,   9.27358E-01
    4.76000E+01,   7.68231E-02,   9.26054E-01
    4.77000E+01,   7.82739E-02,   9.24711E-01
    4.78000E+01,   7.97687E-02,   9.23330E-01
    4.79000E+01,   8.13097E-02,   9.21908E-01
    4.80000E+01,   8.28987E-02,   9.20444E-01
    4.81000E+01,   8.45389E-02,   9.18936E-01
    4.82000E+01,   8.62312E-02,   9.17382E-01
    4.83000E+01,   8.79797E-02,   9.15779E-01
    4.84000E+01,   8.97866E-02,   9.14126E-01
    4.85000E+01,   9.16545E-02,   9.12420E-01
    4.86000E+01,   9.35847E-02,   9.10661E-01
    4.87000E+01,   9.55837E-02,   9.08842E-01
    4.88000E+01,   9.76552E-02,   9.06962E-01
    4.89000E+01,   9.97989E-02,   9.05019E-01
    4.90000E+01,   1.02022E-01,   9.03010E-01
    4.91000E+01,   1.04330E-01,   9.00928E-01
    4.92000E+01,   1.06729E-01,   8.98770E-01
    4.93000E+01,   1.09220E-01,   8.96534E-01
    4.94000E+01,   1.11811E-01,   8.94213E-01
    4.95000E+01,   1.14503E-01,   8.91809E-01
    4.96000E+01,   1.17316E-01,   8.89304E-01
    4.97000E+01,   1.20262E-01,   8.86688E-01
    4.98000E+01,   1.23339E-01,   8.83964E-01
    4.99000E+01,   1.26581E-01,   8.81102E-01
    5.00000E+01,   1.30082E-01,   8.78023E-01
    5.01000E+01,   1.33585E-01,   8.74953E-01
    5.02000E+01,   1.37293E-01,   8.71715E-01
    5.03000E+01,   1.41276E-01,   8.68249E-01
    5.04000E+01,   1.45529E-01,   8.64565E-01
    5.05000E+01,   1.50085E-01,   8.60635E-01
    5.06000E+01,   1.54692E-01,   8.56679E-01
    5.07000E+01,   1.59690E-01,   8.52408E-01
    5.08000E+01,   1.65101E-01,   8.47808E-01
    5.09000E+01,   1.71008E-01,   8.42815E-01
    5.10000E+01,   1.77992E-01,   8.36949E-01
    5.11000E+01,   1.83829E-01,   8.32078E-01
    5.12000E+01,   1.90796E-01,   8.26301E-01
    5.13000E+01,   1.98613E-01,   8.19867E-01
    5.14000E+01,   2.07428E-01,   8.12672E-01
    5.15000E+01,   2.23008E-01,   8.00108E-01
    5.16000E+01,   2.26730E-01,   7.97136E-01
    5.17000E+01,   2.37151E-01,   7.88873E-01
    5.18000E+01,   2.49281E-01,   7.79361E-01
    5.19000E+01,   2.63672E-01,   7.68225E-01
    5.20000E+01,   2.84073E-01,   7.52712E-01
    5.21000E+01,   2.95635E-01,   7.44059E-01
    5.22000E+01,   3.11443E-01,   7.32390E-01
    5.23000E+01,   3.31090E-01,   7.18140E-01
    5.24000E+01,   3.55459E-01,   7.00851E-01
    5.25000E+01,   3.89313E-01,   6.77522E-01
