# TABLE 1  Fit parameters for photoionization cross sections from Verner+1996, ApJ, 465, 487.
# Energies are in eV, sigma in Mb = 1e-18 cm2
Element Ion      Z  N   Eth      Emax      E0     sigma0    ya        P        yw       y0       y1  Notes
S       1       16 16 1.036e+1 1.700e+2 1.808e+1 4.564e+4 1.000e+0 1.361e+1 6.385e-1 9.935e-1 2.486e-1 E
S       2       16 15 2.333e+1 1.846e+2 8.787e+0 3.136e+2 3.442e+0 1.281e+1 7.354e-1 2.782e+0 1.788e-1 E
S       3       16 14 3.483e+1 1.995e+2 2.027e+0 6.666e+0 5.454e+1 8.611e+0 4.109e+0 1.568e+1 9.421e+0 D
S       4       16 13 4.731e+1 2.164e+2 2.173e+0 2.606e+0 6.641e+1 8.655e+0 1.863e+0 1.975e+1 3.361e+0 C
S       5       16 12 7.268e+1 2.350e+2 1.713e-1 5.072e-4 1.986e+2 1.307e+1 7.880e-1 9.424e+1 6.265e-1 C
S       6       16 11 8.805e+1 2.557e+2 1.413e+1 9.139e+0 1.656e+3 3.626e+0 0.000e+0 0.000e+0 0.000e+0 B
S       7       16 10 2.809e+2 2.569e+3 3.757e-1 5.703e-1 1.460e+2 1.135e+1 1.503e+0 2.222e+2 4.606e+0 C
S       8       16  9 3.282e+2 2.641e+3 1.462e+1 3.161e+1 1.611e+1 8.642e+0 1.153e-3 1.869e+1 3.037e-1 C
S       9       16  8 3.791e+2 2.705e+3 1.526e-1 9.646e+3 1.438e+3 5.977e+0 1.492e+0 1.615e-3 4.049e-1 C
S       10      16  7 4.471e+2 2.782e+3 1.040e+1 5.364e+1 3.641e+1 7.090e+0 2.310e+0 1.775e+1 1.663e+0 C
S       11      16  6 5.048e+2 2.859e+3 6.485e+0 1.275e+1 6.583e+1 7.692e+0 1.678e+0 3.426e+1 1.370e-1 C
S       12      16  5 5.647e+2 2.941e+3 2.443e+0 3.490e-1 5.411e+2 7.769e+0 7.033e-1 2.279e+2 1.172e+0 C
S       13      16  4 6.517e+2 3.029e+3 1.474e+1 2.294e+4 1.529e+0 2.568e+1 2.738e+1 2.203e-2 1.073e-2 C
S       14      16  3 7.072e+2 3.107e+3 3.310e+1 2.555e+1 3.821e+1 5.037e+0 0.000e+0 0.000e+0 0.000e+0 B
S       15      16  2 3.224e+3 5.000e+4 4.390e+2 2.453e+1 4.405e+1 1.765e+0 0.000e+0 0.000e+0 0.000e+0 B
S       16      16  1 3.494e+3 5.000e+4 1.104e+2 2.139e+2 3.288e+1 2.963e+0 0.000e+0 0.000e+0 0.000e+0 A
Ar      1       18 18 1.576e+1 2.492e+2 1.709e+1 2.106e+1 2.645e+2 4.796e+0 4.185e-1 1.688e+0 8.943e-1 Db
Ar      2       18 17 2.763e+1 2.662e+2 2.494e+1 2.503e+1 1.272e+2 4.288e+0 5.108e-1 9.299e-1 7.195e-1 D
Ar      3       18 16 4.074e+1 2.801e+2 1.417e+1 3.580e+1 3.776e+1 5.742e+0 6.316e-1 2.384e+0 1.794e+0 D
Ar      4       18 15 5.981e+1 2.987e+2 6.953e+0 2.035e+1 1.400e+1 9.595e+0 8.842e-1 7.501e+0 1.806e-1 C
