 f1,f2,f3,lgn,   lgT,    lgZ, F_n2_10,F_n2_21,   F_c2, F_c1_10,F_c1_21, F_o1_10,F_o1_21,F_o1_op,F_o3_10,F_o3_21,   F_ha,   F_hb,   F_hg,  F_o3_32,F_o3_31,F_o3_43,F_o2_10,F_o2_20, F_n2_31,F_n2_32,  F_s2_a, F_s2_b,F_he1_a,F_he1_b,  F_n3
 F,F,ok,1.000, 5.000,  0.400,  -3.885, -3.804,  -2.963, -8.224, -8.986,  -8.576, -7.392, -7.245, -0.224, -0.291,  -2.717, -3.310, -3.702,  -0.327, -0.806, -1.309, -2.915, -3.074,  -3.928, -3.456,  -4.120, -4.249, -5.089, -4.577, -0.869
 F,F,ok,1.250, 1.500,  0.400,  -5.160, -5.922,  -4.843, -8.130, -8.378,  -8.023, -7.171,-10.490, -5.340, -6.719,  -2.178, -2.697, -3.048,  -8.844, -9.319, -9.384,-12.633,-12.755,  -6.689, -6.219,  -7.705, -7.607, -4.401, -3.937, -6.281
 F,F,ok,1.250, 2.000,  0.400,  -4.397, -4.283,  -3.871, -7.750, -8.130,  -7.771, -6.892,-10.232, -3.552, -4.732,  -2.159, -2.676, -3.026,  -8.464, -8.938, -9.027,-12.335,-12.451,  -6.521, -6.051,  -6.959, -7.134, -4.369, -3.906, -4.185
 F,F,ok,1.250, 2.500,  0.400,  -4.210, -3.908,  -3.707, -7.729, -8.339,  -7.398, -6.397,-10.089, -2.661, -3.129,  -2.165, -2.676, -3.024,  -7.939, -8.414, -8.560,-12.125,-12.254,  -6.521, -6.051,  -6.683, -6.951, -4.364, -3.903, -3.177
 F,F,ok,1.250, 3.000,  0.400,  -4.117, -3.861,  -3.452, -7.700, -8.442,  -6.972, -5.902,-10.042, -2.199, -2.467,  -2.208, -2.706, -3.050,  -7.571, -8.046, -8.234,-12.015,-12.156,  -6.599, -6.129,  -6.838, -7.096, -4.398, -3.943, -2.756
 F,F,ok,1.250, 3.500,  0.400,  -4.058, -3.888,  -3.257, -7.631, -8.454,  -6.492, -5.381, -7.383, -1.952, -2.184,  -2.301, -2.781, -3.117,  -4.335, -4.811, -8.024, -5.851, -6.016,  -5.135, -4.666,  -4.856, -5.007, -4.487, -4.043, -2.521
 F,F,ok,1.250, 4.000,  0.400,  -3.973, -3.842,  -3.242, -7.481, -8.330,  -6.060, -5.063, -4.594, -1.797, -2.016,  -2.470, -2.935, -3.264,  -1.509, -1.984, -3.707, -2.342, -2.509,  -3.182, -2.712,  -3.078, -3.230, -4.670, -4.238, -2.318
 F,F,ok,1.250, 4.500,  0.400,  -1.793, -1.631,  -1.006, -5.636, -6.480,  -5.861, -4.832, -4.277, -1.655, -1.824,  -2.064, -2.628, -2.994,  -0.742, -1.218, -1.981, -0.175, -0.336,  -1.215, -0.742,  -1.313, -1.452, -4.365, -3.816, -1.506
 F,F,ok,1.250, 5.000,  0.400,  -3.716, -3.573,  -2.846, -8.245, -9.079,  -8.376, -7.221, -7.017, -0.022, -0.049,  -2.481, -3.074, -3.466,  -0.078, -0.557, -1.060, -2.670, -2.827,  -3.681, -3.209,  -3.894, -4.021, -4.839, -4.323, -0.647
 F,F,ok,1.500, 1.500,  0.400,  -5.091, -5.776,  -4.781, -7.938, -8.237,  -7.754, -6.915,-10.216, -5.159, -6.496,  -1.926, -2.445, -2.796,  -8.594, -9.069, -9.135,-12.410,-12.506,  -6.437, -5.968,  -7.512, -7.337, -4.149, -3.685, -6.079
 F,F,ok,1.500, 2.000,  0.400,  -4.349, -4.115,  -3.803, -7.567, -8.029,  -7.491, -6.630, -9.946, -3.373, -4.437,  -1.907, -2.425, -2.775,  -8.170, -8.644, -8.748,-12.106,-12.190,  -6.275, -5.805,  -6.740, -6.854, -4.118, -3.654, -3.976
 F,F,ok,1.500, 2.500,  0.400,  -4.185, -3.736,  -3.658, -7.645, -8.342,  -7.165, -6.170, -9.849, -2.474, -2.853,  -1.916, -2.427, -2.775,  -7.585, -8.060, -8.229,-11.893,-11.998,  -6.287, -5.817,  -6.455, -6.681, -4.116, -3.654, -2.956
 F,F,ok,1.500, 3.000,  0.400,  -4.065, -3.653,  -3.392, -7.654, -8.466,  -6.719, -5.650, -9.781, -1.998, -2.203,  -1.958, -2.456, -2.800,  -7.191, -7.666, -7.875,-11.776,-11.899,  -6.360, -5.890,  -6.601, -6.834, -4.148, -3.693, -2.528
 F,F,ok,1.500, 3.500,  0.400,  -3.963, -3.646,  -3.173, -7.603, -8.477,  -6.237, -5.125, -7.126, -1.736, -1.925,  -2.051, -2.531, -2.867,  -4.084, -4.559, -7.662, -5.607, -5.761,  -4.883, -4.413,  -4.612, -4.751, -4.237, -3.793, -2.286
 F,F,ok,1.500, 4.000,  0.400,  -3.851, -3.597,  -3.142, -7.462, -8.356,  -5.817, -4.818, -4.347, -1.571, -1.760,  -2.220, -2.685, -3.014,  -1.258, -1.734, -3.456, -2.097, -2.257,  -2.936, -2.466,  -2.834, -2.979, -4.420, -3.987, -2.080
 F,F,ok,1.500, 4.500,  0.400,  -1.635, -1.374,  -0.855, -5.590, -6.483,  -5.585, -4.558, -4.027, -1.417, -1.567,  -1.814, -2.379, -2.745,  -0.489, -0.965, -1.728,  0.073, -0.084,  -0.965, -0.493,  -1.065, -1.200, -4.099, -3.533, -1.239
 F,F,ok,1.500, 5.000,  0.400,  -3.587, -3.359,  -2.758, -8.274, -9.160,  -8.175, -7.047, -6.791,  0.166,  0.190,  -2.244, -2.836, -3.228,   0.173, -0.306, -0.808, -2.424, -2.577,  -3.433, -2.961,  -3.670, -3.794, -4.585, -4.061, -0.431
 F,F,ok,1.750, 1.500,  0.400,  -5.052, -5.680,  -4.745, -7.789, -8.147,  -7.512, -6.682, -9.974, -5.012, -6.289,  -1.679, -2.199, -2.549,  -8.347, -8.822, -8.889,-12.210,-12.270,  -6.187, -5.717,  -7.348, -7.076, -3.902, -3.438, -5.903
 F,F,ok,1.750, 2.000,  0.400,  -4.324, -3.997,  -3.755, -7.421, -7.971,  -7.231, -6.384, -9.684, -3.226, -4.151,  -1.658, -2.175, -2.525,  -7.875, -8.350, -8.469,-11.894,-11.931,  -6.026, -5.557,  -6.542, -6.574, -3.868, -3.405, -3.789
 F,F,ok,1.750, 2.500,  0.400,  -4.182, -3.609,  -3.620, -7.579, -8.347,  -6.906, -5.916, -9.584, -2.319, -2.579,  -1.666, -2.177, -2.525,  -7.226, -7.701, -7.894,-11.669,-11.736,  -6.049, -5.579,  -6.239, -6.404, -3.866, -3.404, -2.751
 F,F,ok,1.750, 3.000,  0.400,  -4.052, -3.494,  -3.353, -7.623, -8.485,  -6.462, -5.393, -9.519, -1.825, -1.940,  -1.707, -2.206, -2.549,  -6.805, -7.280, -7.510,-11.543,-11.639,  -6.118, -5.648,  -6.372, -6.565, -3.898, -3.442, -2.314
 F,F,ok,1.750, 3.500,  0.400,  -3.917, -3.448,  -3.119, -7.588, -8.496,  -5.993, -4.879, -6.879, -1.541, -1.664,  -1.801, -2.281, -2.617,  -3.831, -4.306, -7.288, -5.369, -5.504,  -4.631, -4.161,  -4.375, -4.494, -3.987, -3.543, -2.062
